brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Nissan,Titan PRO-4X,2021,2500,5.6L V8 32V GDI DOHC,5.6,9-Speed Automatic,1,Gasoline,Four-wheel Drive,20,29,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,Black,Gun Metallic,52143
Nissan,Titan SV,2012,85699,"Endurance 5.6L V-8 DOHC, variable valve control, engine with 317",5.6,Automatic,1,Gasoline,Rear-wheel Drive,25,32,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Black,Navy Blue Metallic,14999
Kia,Telluride EX,2021,43237,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,26,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,Black,Gray,41022
Audi,Q7 3.0T Prestige,2017,49475,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,25,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,Black,Glacier White Metallic,31995
BMW,X5 xDrive50i,2020,32557,4.4L V8 32V GDI DOHC Twin Turbo,4.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,22,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,Black,Phytonic Blue Metallic,52882
Volkswagen,Atlas Cross Sport 2.0T SEL,2022,4626,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic with Tiptronic,1,Gasoline,Four-wheel Drive,25,34,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,Titan Black,Deep Black Pearl Effect,42993
FIAT,500X Lounge,2018,20605,2.4L I4 16V MPFI SOHC,2.4,9-Speed Automatic,1,Gasoline,Four-wheel Drive,21,29,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Brown,White,23995
Alfa,Romeo Giulia Ti,2019,22022,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,31,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,Black / Tan,White,33988
Mercedes-Benz,Metris Base,2018,27259,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,23,35,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Black,Arctic White,34995
Cadillac,Escalade Luxury,2017,52535,6.2L V8 16V GDI OHV,6.2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,Black,Red Passion Tintcoat,44900
